year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1990,42,28,14,Solid,DEN,Marcus Liberty,Illinois,,,,,,,,,,,,,,,,,,,,,
1990,50,50,0,Rotation,PHO,Miloš Babić,Tennessee Technological University,,,,,,,,,,,,,,,,,,,,,
1990,31,27,4,Solid,PHO,Negele Knight,Dayton,,,,,,,,,,,,,,,,,,,,,
1990,49,54,-5,NA,DAL,Phil Henderson,Duke,,,,,,,,,,,,,,,,,,,,,
1990,10,23,-13,Solid,ATL,Rumeal Robinson,Michigan,,,,,,,,,,,,,,,,,,,,,
1990,54,34,20,Role,SAS,Sean Higgins,Michigan,,,,,,,,,,,,,,,,,,,,,
1990,52,52,0,NA,CLE,Stefano Rusconi,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1990,41,48,-7,Rotation,ATL,Steve Bardo,Illinois,,,,,,,,,,,,,,,,,,,,,
1990,44,32,12,Role,MIL,Steve Henson,Kansas State,,,,,,,,,,,,,,,,,,,,,
1990,39,42,-3,Role,CHH,Steve Scheffler,Purdue,,,,,,,,,,,,,,,,,,,,,
1990,22,39,-17,Role,NJN,Tate George,UConn,,,,,,,,,,,,,,,,,,,,,
1990,16,12,4,Elite,MIL,Terry Mills,Michigan,,,,,,,,,,,,,,,,,,,,,
1990,29,3,26,Star,CHI,Toni Kukoč,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1990,43,20,23,Solid,SAS,Tony Massenburg,Maryland,,,,,,,,,,,,,,,,,,,,,
1990,51,26,25,Solid,LAL,Tony Smith,Marquette,,,,,,,,,,,,,,,,,,,,,
1990,14,19,-5,Solid,SAC,Travis Mays,Texas,,,,,,,,,,,,,,,,,,,,,
1990,36,38,-2,Role,ATL,Trevor Wilson,UCLA,,,,,,,,,,,,,,,,,,,,,
1990,11,8,3,Elite,GSW,Tyrone Hill,Xavier,,,,,,,,,,,,,,,,,,,,,
1990,33,49,-16,Rotation,UTA,Walter Palmer,Dartmouth College,,,,,,,,,,,,,,,,,,,,,
1990,9,17,-8,Starter,MIA,Willie Burton,Minnesota,,,,,,,,,,,,,,,,,,,,,
1991,44,45,-1,NA,PHI,Alvaro Teheran,Houston,,,,,,,,,,,,,,,,,,,,,
1991,15,29,-14,Role,ATL,Anthony Avent,Seton Hall,,,,,,,,,,,,,,,,,,,,,
1991,52,46,6,NA,LAL,Anthony Jones,Oral Roberts,,,,,,,,,,,,,,,,,,,,,
1991,3,8,-5,Elite,SAC,Billy Owens,Syracuse,,,,,,,,,,,,,,,,,,,,,
1991,10,14,-4,Starter,ORL,Bison Dele,Arizona,,,,,,,,,,,,,,,,,,,,,
1991,45,12,33,Elite,MIL,Bobby Phills,Southern University and A&M College,,,,,,,,,,,,,,,,,,,,,
1991,32,28,4,Role,PHO,Chad Gallagher,Creighton,,,,,,,,,,,,,,,,,,,,,
1991,36,31,5,Role,ORL,Chris Corchiani,NC State,,,,,,,,,,,,,,,,,,,,,
1991,16,13,3,Starter,GSW,Chris Gatling,Old Dominion,,,,,,,,,,,,,,,,,,,,,
1991,13,6,7,Star,IND,Dale Davis,Clemson,,,,,,,,,,,,,,,,,,,,,
1991,4,1,3,SuperStar,DEN,Dikembe Mutombo,Georgetown,,,,,,,,,,,,,,,,,,,,,
1991,33,30,3,Role,DAL,Donald Hodge,Temple,,,,,,,,,,,,,,,,,,,,,
1991,40,23,17,Solid,DET,Doug Overton,La Salle,,,,,,,,,,,,,,,,,,,,,
1991,6,24,-18,Solid,DAL,Doug Smith,Missouri,,,,,,,,,,,,,,,,,,,,,
1991,37,15,22,Starter,LAC,Elliot Perry,Memphis,,,,,,,,,,,,,,,,,,,,,
1991,21,9,12,Elite,UTA,Eric Murdock,Providence,,,,,,,,,,,,,,,,,,,,,
1991,29,47,-18,NA,MIA,George Ackles,UNLV,,,,,,,,,,,,,,,,,,,,,
